,Company,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Fiscal Year Ends  ,Most Recent Quarter  (mrq),Profit Margin  ,Operating Margin  (ttm),Return on Assets  (ttm),Return on Equity  (ttm),Revenue  (ttm),Revenue Per Share  (ttm),Quarterly Revenue Growth  (yoy),Gross Profit  (ttm),EBITDA  ,Net Income Avi to Common  (ttm),Diluted EPS  (ttm),Quarterly Earnings Growth  (yoy),Total Cash  (mrq),Total Cash Per Share  (mrq),Total Debt  (mrq),Total Debt/Equity  (mrq),Current Ratio  (mrq),Book Value Per Share  (mrq),Operating Cash Flow  (ttm),Levered Free Cash Flow  (ttm),Beta (5Y Monthly)  ,S&P 500 52-Week Change ,Avg Vol (3 month) ,Avg Vol (10 day) ,Shares Outstanding ,Implied Shares Outstanding ,Float ,Shares Short (5/15/2024) ,Short Ratio (5/15/2024) ,Short % of Float (5/15/2024) ,Short % of Shares Outstanding (5/15/2024) ,Shares Short (prior month 4/15/2024) ,Forward Annual Dividend Rate ,Forward Annual Dividend Yield ,Trailing Annual Dividend Rate ,Trailing Annual Dividend Yield ,Payout Ratio ,Dividend Date ,Ex-Dividend Date ,Last Split Factor ,Last Split Date ,Unnamed: 11,Unnamed: 0
2454,FTLF,141.49M ,155.45M ,20.79 ,-- ,-- ,2.59 ,4.82 ,2.66 ,14.33 ,12/31/2023,3/31/2024,12.48%,21.24%,13.97%,28.64%,58.51M,12.95,54.10%,--,10.97M,7.3M,1.48,"1,284.60%",2.54M,0.55,16.5M,56.17%,1.27,6.39,9.02M,-11.61M,0.96,23.23%,7.92k,11.07k,4.6M,4.6M,1.92M,3.19k,0.52,0.17%,0.07%,4.21k,--,--,0.00,0.00%,0.00%,4/16/2019,--,4:1,12/8/2021,,
2455,FTNT,45.99B ,43.96B ,39.09 ,34.13 ,1.59 ,8.73 ,-- ,8.15 ,28.85 ,12/31/2023,3/31/2024,22.23%,23.65%,11.08%,--,5.4B,6.98,7.20%,--,1.4B,1.2B,1.54,20.80%,3.02B,3.96,1.08B,--,1.20,-0.18,2.09B,1.52B,0.98,23.23%,5.17M,5.08M,763.94M,763.94M,641.94M,12.76M,2.04,2.02%,1.67%,13.97M,--,--,0.00,0.00%,0.00%,--,--,5:1,6/23/2022,,
2456,FTRE,2.21B ,3.80B ,-- ,-- ,-- ,0.72 ,1.39 ,1.24 ,33.90 ,12/31/2023,3/31/2024,-3.80%,-5.15%,0.56%,-3.65%,3.08B,34.61,-4.60%,--,136M,-91.2M,-1.02,--,93.9M,1.05,1.69B,106.11%,1.47,17.81,143.8M,207M,--,23.23%,1.2M,1.41M,89.37M,91.03M,75.14M,5.67M,4.08,9.17%,6.35%,4.66M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
2457,FTS,19.41B ,42.73B ,17.28 ,16.86 ,-- ,2.34 ,1.30 ,5.18 ,11.21 ,12/31/2023,3/31/2024,14.11%,28.67%,3.02%,7.38%,11.32B,23.17,-6.10%,--,5B,1.53B,2.28,5.30%,569M,1.15,30.95B,128.89%,0.60,41.62,3.4B,-374.88M,0.19,23.23%,674.86k,561.72k,493M,493.67M,492.21M,11M,17.62,--,2.59%,8.04M,1.73,4.40%,2.31,5.87%,73.80%,6/1/2024,5/16/2024,--,--,,
2458,FTV,25.69B ,28.92B ,28.96 ,19.19 ,1.23 ,4.23 ,2.45 ,4.72 ,17.69 ,12/31/2023,3/29/2024,14.68%,15.68%,4.24%,8.84%,6.13B,17.41,4.40%,--,1.61B,899.6M,2.52,19.50%,704.6M,2,3.94B,37.60%,1.50,29.76,1.44B,1.09B,1.17,23.23%,1.62M,1.41M,352.03M,352.03M,350.39M,2.29M,1.21,0.73%,0.65%,3.23M,0.32,0.44%,0.30,0.41%,11.90%,6/28/2024,5/31/2024,1195:1000,10/9/2020,,
2459,FUBO,359.86M ,620.69M ,-- ,-- ,-- ,0.24 ,1.45 ,0.43 ,-6.61 ,12/31/2023,3/31/2024,-17.97%,-15.74%,-13.88%,-78.96%,1.45B,4.91,24.00%,--,-234.29M,-265.04M,-0.8800,--,168.85M,0.56,429.69M,181.99%,0.63,0.83,-166.71M,-84.9M,1.99,23.23%,8.4M,7.16M,299.88M,302.28M,293.89M,61.25M,5.66,21.06%,20.42%,63.43M,--,--,0.00,0.00%,0.00%,2/28/2019,--,--,--,,
2460,FUFU,633.69M ,708.63M ,14.70 ,-- ,-- ,1.71 ,5.44 ,1.91 ,12.10 ,12/31/2023,3/31/2024,11.64%,13.13%,--,69.96%,370.55M,2.45,149.10%,--,49.78M,43.12M,--,"1,216.00%",87.16M,0.56,102.44M,87.97%,2.93,--,--,--,0.02,23.23%,137.31k,119.57k,27.9M,162.9M,15.55M,146.59k,1.06,0.89%,0.09%,84.43k,--,--,--,--,0.00%,--,--,--,--,,
2461,FUFUW,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,--,--,11.64%,13.13%,--,69.96%,370.55M,2.45,149.10%,--,49.78M,43.12M,--,"1,216.00%",87.16M,0.56,102.44M,87.97%,2.93,--,--,--,0.02,23.23%,--,--,--,--,15.55M,,,,,,--,--,--,--,--,--,--,--,--,,
2462,FUL,4.28B ,5.95B ,28.56 ,18.48 ,-- ,1.26 ,2.42 ,1.69 ,11.00 ,12/2/2023,3/2/2024,4.39%,9.24%,5.54%,9.06%,3.51B,64.49,0.20%,--,574.33M,154.01M,2.75,41.60%,165.25M,3.03,1.94B,109.89%,1.99,32.47,420.2M,351.08M,1.47,23.23%,301.65k,279.79k,54.49M,54.49M,54.11M,627.27k,2.23,1.59%,1.15%,729.43k,0.89,1.13%,0.82,1.04%,29.82%,5/9/2024,4/24/2024,2:1,8/7/2006,,
2463,FULC,483.56M ,280.38M ,315.25 ,-- ,-- ,191.79 ,2.26 ,111.70 ,-10.84 ,12/31/2023,3/31/2024,0.00%,"-4,484.38%",-25.41%,-39.00%,2.51M,0.04,--,--,-110.47M,-99.43M,-1.61,--,213.31M,3.43,10.14M,4.75%,20.38,3.44,-92.13M,-56.89M,2.33,23.23%,538.23k,560.17k,62.15M,62.15M,43.8M,3.09M,6.08,6.19%,4.97%,2.53M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
2464,FULT,2.91B ,-- ,9.94 ,10.67 ,-- ,2.46 ,1.13 ,5.00 ,-- ,12/31/2023,3/31/2024,26.86%,32.95%,1.01%,10.34%,1.03B,6.30,2.80%,--,--,267.66M,1.61,-9.30%,521.81M,2.87,2.58B,--,--,15.82,469.92M,--,0.77,23.23%,1.55M,1.27M,181.76M,181.76M,179.59M,7.52M,3.19,5.49%,4.14%,7.32M,0.68,4.25%,0.66,4.12%,40.99%,4/15/2024,3/28/2024,105:100,5/17/2006,,
2465,FULTP,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,12/31/2023,3/31/2024,26.86%,32.95%,1.01%,10.34%,1.03B,6.30,2.80%,--,--,267.66M,1.57,-9.30%,521.81M,2.87,2.58B,--,--,15.82,469.92M,--,0.77,23.23%,11.67k,23.32k,--,--,179.59M,8.73k,0.93,--,--,6.47k,1.28,7.09%,0.66,3.67%,--,4/15/2024,3/27/2024,--,--,,
2466,FUN,2.41B ,4.88B ,19.58 ,12.84 ,-- ,1.33 ,-- ,2.69 ,10.51 ,12/31/2023,3/31/2024,6.92%,-111.72%,9.84%,--,1.82B,35.82,20.20%,--,506.93M,125.64M,2.40,--,35.42M,0.69,2.5B,--,0.45,-14.26,322.21M,93.23M,1.46,23.23%,194.68k,235.27k,51.25M,51.25M,50.26M,2.91M,15.83,8.31%,5.68%,2.93M,1.2,2.55%,1.20,2.55%,50.00%,6/19/2024,6/5/2024,2:1,11/18/1997,,
2467,FUNC,131.04M ,-- ,9.17 ,-- ,-- ,1.85 ,0.79 ,3.42 ,-- ,12/31/2023,3/31/2024,20.82%,29.39%,0.75%,9.04%,69.09M,10.35,-3.40%,--,--,14.38M,2.15,-15.50%,86.93M,13.07,151.91M,--,--,24.89,22.55M,--,0.80,23.23%,26.23k,17.86k,6.65M,6.65M,6.07M,27.62k,1.02,0.45%,0.42%,23.17k,0.8,4.06%,0.80,4.04%,37.21%,5/1/2024,4/16/2024,105:100,3/13/1996,,
2468,FUND,223.85M ,-- ,8.06 ,-- ,-- ,8.04 ,0.84 ,8.04 ,-- ,12/31/2023,12/31/2022,327.25%,58.29%,1.31%,10.57%,8.4M,0.28,-29.70%,--,--,27.48M,0.93,240.30%,380.03k,0.01,--,--,18.93,8.91,--,--,1.09,23.23%,26.11k,31.76k,29.85M,30.2M,--,10.73k,0.53,0.07%,0.04%,5.93k,0.51,6.79%,0.50,6.76%,53.54%,12/28/2018,6/14/2024,--,--,,
2469,FURY,59.61M ,53.67M ,3.55 ,-- ,-- ,-- ,0.47 ,-- ,-2.59 ,12/31/2023,3/31/2024,0.00%,0.00%,-4.52%,-8.17%,--,--,--,--,-13.9M,-15.49M,-0.0800,--,8.35M,0.06,191k,0.10%,10.36,1.25,-12.62M,-11.35M,1.41,23.23%,223.64k,242.79k,146.08M,147.51M,143M,914.24k,5.71,0.64%,0.63%,353.33k,--,--,0.00,0.00%,0.00%,10/12/2020,--,675:1000,10/12/2020,,
2470,FUSB,61.88M ,-- ,7.98 ,-- ,-- ,1.68 ,0.67 ,2.17 ,-- ,12/31/2023,3/31/2024,21.13%,27.84%,0.81%,9.62%,40.32M,6.78,-0.90%,--,--,8.52M,1.34,1.70%,66.05M,11.41,27.8M,--,--,15.95,10.31M,--,0.92,23.23%,5.46k,6.43k,5.79M,5.79M,4.63M,4.09k,1.48,0.08%,0.07%,5.79k,0.2,1.87%,0.20,1.82%,14.93%,7/1/2024,6/7/2024,2:1,7/23/2003,,
2471,FUTU,9.87B ,9.10B ,18.94 ,17.24 ,-- ,7.72 ,3.00 ,7.03 ,14.82 ,12/31/2023,3/31/2024,45.82%,52.32%,3.85%,17.22%,9.01B,65.43,-3.80%,--,--,4.13B,3.78,-12.90%,52.38B,47.49,4.05B,15.79%,1.25,186.18,--,--,0.71,23.23%,1.53M,1.26M,137.92M,139.63M,442.15M,4.05M,2.15,4.06%,2.94%,3.33M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
2472,FVCB,188.30M ,-- ,41.88 ,13.61 ,-- ,4.22 ,0.85 ,4.80 ,-- ,12/31/2023,3/31/2024,10.10%,37.55%,0.20%,2.14%,44.94M,2.53,44.20%,--,--,4.54M,0.25,115.80%,84.67M,4.71,89.61M,--,--,12.32,20.86M,--,0.27,23.23%,20.26k,20.43k,17.98M,17.98M,12.35M,123.5k,8.46,0.75%,0.69%,111.55k,--,--,0.00,0.00%,0.00%,--,--,125:100,2/1/2023,,
2473,FVRR,925.75M ,899.34M ,108.73 ,10.87 ,-- ,2.58 ,2.47 ,2.45 ,56.23 ,12/31/2023,3/31/2024,2.38%,-4.44%,-0.75%,2.66%,366.94M,9.57,6.30%,--,-6.7M,8.74M,0.22,--,488.71M,12.61,462.3M,123.45%,3.08,9.66,90.88M,66.53M,1.73,23.23%,955.46k,791.23k,38.7M,39.45M,33.81M,3.14M,3.07,9.51%,8.12%,3.67M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
2474,FWONA,16.65B ,18.32B ,42.53 ,47.62 ,3.55 ,4.55 ,2.34 ,5.34 ,18.05 ,12/31/2023,3/31/2024,10.85%,17.93%,2.23%,5.55%,3.42B,14.58,52.20%,--,756M,371M,1.52,--,1.23B,5.25,2.9B,44.71%,1.65,27.66,502M,17.38M,1.09,23.23%,104.39k,99.54k,23.99M,257.63M,219.98M,345.58k,4.29,1.70%,0.15%,308.15k,--,--,0.00,0.00%,0.00%,--,7/20/2023,1018:1000,7/20/2023,,
2475,FWONK,16.65B ,18.32B ,47.12 ,52.63 ,3.93 ,5.05 ,2.59 ,5.34 ,18.05 ,12/31/2023,3/31/2024,10.85%,17.93%,2.23%,5.55%,3.42B,14.58,52.20%,--,756M,371M,1.52,--,1.23B,5.25,2.9B,44.71%,1.65,27.66,502M,17.38M,1.09,23.23%,1.2M,1.57M,208.61M,241.19M,219.98M,3.83M,3.45,1.89%,1.63%,3.58M,--,--,0.00,0.00%,0.00%,--,7/20/2023,1017:1000,7/20/2023,,
2476,FWRD,534.32M ,2.45B ,14.84 ,-- ,-- ,0.34 ,0.58 ,1.58 ,47.62 ,12/31/2023,3/31/2024,4.45%,-1.38%,2.19%,-7.92%,1.55B,60.08,51.50%,--,164.91M,-65.35M,-2.45,--,152.04M,5.75,2.07B,155.14%,1.28,35.03,63.68M,100.37M,0.99,23.23%,1.32M,1.43M,26.44M,27.38M,20.42M,5.46M,4.97,26.60%,20.65%,4.12M,0.96,4.75%,0.72,3.56%,58.54%,12/7/2023,11/21/2023,3:2,4/4/2005,,
2477,FWRG,1.09B ,1.66B ,47.47 ,-- ,-- ,1.21 ,1.90 ,1.80 ,19.43 ,12/31/2023,3/31/2024,2.52%,5.56%,2.26%,4.19%,922.59M,15.45,14.70%,--,87.61M,23.24M,0.38,-22.90%,43.24M,0.72,611.44M,106.44%,0.60,9.52,99.18M,-11.35M,0.93,23.23%,597.71k,457.76k,60.37M,61.11M,32.4M,4.34M,6.23,13.60%,7.18%,3.98M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
2478,FXNC,96.04M ,-- ,10.70 ,8.27 ,-- ,1.76 ,0.82 ,2.94 ,-- ,12/31/2023,3/31/2024,18.36%,30.26%,0.64%,7.82%,48.94M,7.81,-0.80%,--,--,8.98M,1.43,-16.60%,141.41M,22.53,64.28M,--,--,18.77,16.54M,--,0.52,23.23%,4.41k,4.53k,6.28M,6.28M,4.09M,6.13k,1.25,0.12%,0.10%,8.16k,0.6,3.92%,0.60,3.93%,41.96%,6/7/2024,5/23/2024,2:1,5/2/2005,,
2479,FYBR,6.31B ,16.05B ,222.71 ,-- ,-- ,1.11 ,1.20 ,2.81 ,6.98 ,12/31/2023,3/31/2024,0.47%,9.23%,2.39%,0.52%,5.77B,23.48,1.50%,--,2.23B,27M,0.11,-66.70%,1.52B,6.12,11.31B,215.00%,1.07,21.16,1.29B,-1.58B,1.10,23.23%,1.38M,1.03M,248.55M,251.99M,157.9M,28.85M,18.53,14.00%,11.61%,28.99M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
2480,G,5.66B ,6.72B ,9.03 ,18.32 ,-- ,1.28 ,2.46 ,1.49 ,8.50 ,12/31/2023,3/31/2024,14.21%,14.01%,8.61%,30.40%,4.52B,24.90,3.80%,--,735.55M,642.1M,3.48,10.20%,483.19M,2.68,1.54B,66.86%,1.54,12.81,499.32M,278.95M,1.12,23.23%,1.6M,1.32M,179.98M,181.31M,165.18M,4.54M,2.69,3.27%,2.52%,5.17M,0.61,1.94%,0.56,1.80%,16.24%,6/26/2024,6/10/2024,--,--,,
2481,GAB,1.58B ,-- ,6.72 ,-- ,-- ,6.77 ,1.01 ,8.27 ,-- ,12/31/2023,12/31/2023,679.09%,33.87%,0.38%,12.24%,34.08M,0.11,2.30%,--,--,210.2M,0.78,-54.50%,2.94M,0.01,83.33M,4.34%,1.63,5.19,142.98M,-16.09M,0.91,23.23%,533.23k,703.55k,302.05M,302.05M,--,78.58k,0.2,0.03%,0.03%,95.35k,0.6,11.45%,0.60,11.45%,76.92%,12/14/2018,6/13/2024,1008:1000,11/3/2017,,
2482,GABC,963.84M ,-- ,11.44 ,12.94 ,-- ,3.88 ,1.47 ,4.67 ,-- ,12/31/2023,3/31/2024,34.30%,40.87%,1.39%,13.34%,245.18M,8.29,-4.70%,--,--,84.1M,2.84,-8.60%,132.26M,4.46,205.15M,--,--,22.08,99.62M,--,0.62,23.23%,110.27k,95.22k,29.67M,29.67M,28.09M,1.07M,10.48,3.78%,3.61%,1.14M,1.04,3.20%,1.04,3.21%,35.92%,5/20/2024,5/9/2024,3:2,4/24/2017,,
2483,GAIA,107.62M ,111.23M ,-- ,-- ,-- ,1.23 ,1.27 ,1.35 ,8.85 ,12/31/2023,3/31/2024,-6.72%,-3.98%,-2.03%,-6.09%,82.47M,3.73,10.40%,--,3.45M,-5.54M,-0.2600,--,8.6M,0.37,12.22M,14.18%,0.60,3.66,11.12M,12.31M,0.61,23.23%,37.18k,23.21k,18.05M,23.45M,11.21M,7.42k,0.17,0.05%,0.03%,20.07k,--,--,0.00,0.00%,0.00%,12/30/2010,12/13/2010,--,--,,
2484,GAIN,511.81M ,-- ,5.65 ,13.68 ,-- ,6.08 ,1.04 ,11.51 ,-- ,3/31/2024,3/31/2024,97.71%,52.62%,3.54%,18.30%,87.31M,2.53,19.10%,--,--,85.31M,2.47,384.80%,2.46M,0.07,398.34M,80.85%,0.33,13.43,-69.94M,24.94M,1.29,23.23%,99.44k,96.46k,36.69M,36.69M,--,2.62M,29.78,7.33%,7.15%,2.57M,0.96,6.88%,0.96,6.88%,38.87%,6/28/2024,6/17/2024,--,--,,
2485,GAINL,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,--,--,--,--,--,--,--,--,--,56.63M,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8.37k,3.71k,--,--,--,,,,,,--,--,--,--,--,5/1/2024,--,--,--,,
2486,GAINN,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,--,--,--,--,--,--,--,--,--,58.35M,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4.01k,2.82k,--,--,--,,,,,,--,--,--,--,--,5/1/2024,--,--,--,,
2487,GAINZ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2.61k,1.5k,--,--,--,,,,,,--,--,--,--,--,5/1/2024,--,--,--,,
2488,GALT,165.94M ,227.12M ,-- ,-- ,-- ,-- ,207.70 ,-- ,-4.04 ,12/31/2023,3/31/2024,0.00%,0.00%,-101.32%,--,--,--,--,--,--,-44.77M,-0.7400,--,23.55M,0.38,84.39M,--,2.02,-1.18,-34.28M,-22.32M,0.65,--,195.89k,122.87k,62.15M,--,42.96M,3.73M,19.37,12.49%,6.00%,2.74M,--,--,0.00,0.00%,0.00%,--,--,1:6,3/23/2012,,
2489,GAM,1.16B ,-- ,4.21 ,-- ,-- ,4.03 ,0.94 ,4.69 ,-- ,12/31/2023,3/31/2024,"1,184.29%",35.30%,0.45%,22.20%,26.67M,1.13,10.20%,--,--,304.51M,11.67,52.80%,523.86k,0.02,2.84M,0.19%,0.59,57.22,--,--,0.94,23.23%,22.46k,19.85k,23.64M,23.64M,22.42M,5.79k,0.21,0.03%,0.02%,1.8k,0.55,1.12%,2.65,5.40%,4.71%,12/28/2018,11/10/2023,--,--,,
2490,GAMB,293.91M ,270.19M ,16.24 ,-- ,-- ,2.76 ,2.42 ,2.43 ,11.22 ,12/31/2023,3/31/2024,17.06%,29.77%,12.26%,17.44%,111.17M,2.98,9.50%,--,29.9M,18.96M,0.49,10.70%,25.54M,0.69,1.6M,1.32%,1.75,3.29,19.63M,1.16M,0.85,23.23%,182.12k,143.78k,36.92M,36.92M,16.93M,313.07k,2.05,1.58%,0.85%,236.31k,--,--,0.00,0.00%,0.00%,--,--,--,--,,
2491,GAMC,86.04M ,88.04M ,134.00 ,-- ,-- ,-- ,11.13 ,-- ,-247.50 ,12/31/2023,3/31/2024,0.00%,0.00%,--,--,--,--,--,--,--,-3.57M,-0.29,--,60.51k,0.01,2.06M,--,0.04,-2.50,-1.39M,--,0.01,23.23%,509,730,7.63M,7.77M,577.9k,470,0.49,0.08%,0.01%,452,--,--,0.00,0.00%,0.00%,--,--,--,--,,
2492,GAMCW,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,--,--,0.00%,0.00%,--,--,--,--,--,--,--,-3.57M,--,--,60.51k,0.01,2.06M,--,0.04,--,-1.39M,--,0.01,23.23%,--,--,--,--,577.9k,,,,,,--,--,--,--,--,--,--,--,--,,
2493,GAME,38.86M ,46.59M ,-- ,-- ,-- ,0.27 ,1.01 ,0.70 ,-1.73 ,12/31/2023,3/31/2024,-48.10%,-29.26%,-24.42%,-168.18%,66.94M,4.76,535.40%,--,-19.9M,-35.36M,-2.6800,--,7.17M,0.24,14.9M,38.67%,0.72,1.27,-23.44M,5.57M,--,23.23%,142.38k,131.47k,30.36M,30.36M,26.67M,57.34k,0.37,0.35%,0.19%,96k,--,--,0.00,0.00%,0.00%,8/13/2020,--,1:4,4/11/2023,,
2494,GAN,65.14M ,75.96M ,4.01k ,-- ,-- ,0.51 ,0.42 ,0.61 ,-1.21 ,12/31/2023,3/31/2024,-32.10%,-10.78%,-19.39%,-511.38%,124.94M,2.79,-12.70%,--,-14.95M,-40.1M,-0.9000,--,36.59M,0.81,47.41M,--,1.58,-0.20,330k,6.41M,2.01,23.23%,129.3k,86.84k,45.39M,45.39M,42.73M,502.24k,3.65,1.13%,1.11%,498.79k,--,--,0.00,0.00%,0.00%,--,--,--,--,,
2495,GANX,34.12M ,22.35M ,-- ,-- ,-- ,255.50 ,3.95 ,138.33 ,-1.55 ,12/31/2023,3/31/2024,0.00%,0.00%,-74.54%,-177.83%,--,0.00,--,--,-21.37M,-21.14M,-1.5000,--,12.66M,0.7,889.62k,10.29%,2.77,0.48,-18.24M,-10.24M,0.48,23.23%,129.34k,204.98k,18.05M,18.05M,16.83M,100.71k,0.87,0.60%,0.56%,149.6k,--,--,0.00,0.00%,0.00%,--,--,--,--,,
2496,GAQ,88.20M ,90.12M ,41.67 ,-- ,-- ,-- ,1.13 ,-- ,-140.84 ,12/31/2023,3/31/2024,0.00%,0.00%,-0.53%,--,--,--,--,--,--,6.39M,0.27,--,132.04k,0.02,2.05M,--,0.08,-0.46,-929.17k,-426.72k,0.09,23.23%,27.14k,2.3k,4.79M,7.84M,1.17M,2.37k,0.82,0.05%,0.03%,363,--,--,0.00,0.00%,0.00%,--,--,--,--,,
2497,GASS,281.76M ,365.38M ,5.48 ,6.77 ,-- ,1.93 ,0.50 ,2.49 ,4.52 ,12/31/2023,3/31/2024,35.94%,42.03%,3.90%,9.60%,147.03M,4.03,9.20%,--,72.27M,52.04M,1.42,5.40%,77.09M,2.19,160.7M,28.25%,2.25,16.20,81.44M,-45.27M,0.84,23.23%,144.08k,144.21k,36.22M,36.22M,14.56M,260.55k,3.32,1.88%,0.72%,316.63k,--,--,0.00,0.00%,0.00%,3/9/2009,2/26/2009,--,--,,
2498,GATE,128.58M ,131.03M ,338.00 ,-- ,-- ,-- ,1.44 ,-- ,-338.57 ,12/31/2023,3/31/2024,0.00%,0.00%,-27.79%,--,--,--,--,--,--,-3.58M,-0.31,--,120.15k,0.01,2.56M,--,0.39,-1.88,-1.81M,-2.66M,0.05,23.23%,519,330,5.55M,11.88M,1.55M,621,1.04,0.07%,0.01%,1.27k,--,--,0.00,0.00%,0.00%,--,--,--,--,,
2499,GATEU,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,12/31/2023,3/31/2024,0.00%,0.00%,-27.79%,--,--,--,--,--,--,-3.58M,-0.01,--,120.15k,0.01,2.56M,--,0.39,-1.88,-1.81M,-2.66M,0.05,23.23%,1,--,--,--,1.55M,140,--,--,--,140,--,--,0.00,0.00%,--,--,--,--,--,,
2500,GATEW,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,--,--,0.00%,0.00%,-27.79%,--,--,--,--,--,--,-3.58M,--,--,120.15k,0.01,2.56M,--,0.39,-1.88,-1.81M,-2.66M,0.05,23.23%,21.95k,81.89k,--,--,1.55M,,,,,,--,--,0.00,0.00%,--,--,--,--,--,,
2501,GATO,747.85M ,677.52M ,51.48 ,33.90 ,-- ,-- ,2.01 ,-- ,44.35 ,12/31/2023,3/31/2024,0.00%,0.00%,-3.89%,4.03%,--,--,--,--,-23.75M,14.56M,0.21,203.20%,70.59M,1.02,255k,0.07%,7.09,5.37,7.22M,-7.69M,2.16,23.23%,486.77k,604.01k,69.18M,69.18M,40.88M,812.97k,1.92,1.60%,1.18%,626.79k,--,--,0.00,0.00%,0.00%,--,--,--,--,,
2502,GATX,4.67B ,12.05B ,18.82 ,17.39 ,-- ,3.24 ,2.01 ,8.30 ,13.05 ,12/31/2023,3/31/2024,17.64%,30.32%,2.38%,11.57%,1.45B,40.53,12.10%,--,811M,249.8M,6.98,-4.00%,479.1M,13.47,7.86B,338.12%,2.97,65.33,523M,-1.16B,1.01,23.23%,150.83k,120.13k,35.58M,35.58M,35.35M,1.15M,7.88,5.56%,3.22%,1.17M,2.32,1.77%,2.23,1.70%,31.95%,6/30/2024,6/14/2024,2:1,6/2/1998,,
2503,GAU,394.45M ,288.42M ,25.50 ,5.29 ,-- ,10.97 ,1.70 ,9.10 ,17.60 ,12/31/2023,3/31/2024,40.49%,-11.54%,-3.08%,6.24%,31.7M,0.14,--,--,-12.56M,12.83M,0.0600,--,130.8M,0.51,24.77M,10.81%,2.49,0.90,9.94M,2.53M,1.03,23.23%,1.59M,1.18M,254.13M,257.81M,144.02M,654.95k,0.35,0.26%,0.26%,346.13k,--,--,0.00,0.00%,0.00%,--,--,--,--,,
2504,GAUZ,283.53M ,423.34M ,-- ,-- ,-- ,3.32 ,-- ,4.96 ,-- ,12/31/2023,3/31/2024,-86.77%,-38.85%,--,--,85.28M,17.13,41.90%,--,-29.79M,-74M,--,--,2.42M,0.46,142.23M,--,0.88,--,-34.06M,--,--,23.23%,301.67k,301.67k,19.05M,19.05M,3.25M,,,,,,--,--,--,--,0.00%,--,--,--,--,,
2505,GB,987.89M ,1.55B ,76.82 ,-- ,-- ,2.56 ,14.86 ,3.42 ,9.95 ,3/31/2024,3/31/2024,3.31%,15.20%,5.44%,54.59%,422.3M,1.81,21.30%,--,141.66M,13.97M,0.0600,--,87.46M,0.36,588.87M,837.36%,0.98,0.26,120.07M,30.72M,--,23.23%,26.59k,45.96k,199.58M,199.58M,36.86M,88.16k,4.27,0.25%,0.04%,94.59k,--,--,0.00,0.00%,0.00%,--,--,--,--,,
2506,GBAB,384.85M ,-- ,36.38 ,-- ,-- ,34.21 ,1.07 ,46.71 ,-- ,--,--,0.00%,0.00%,--,--,--,--,--,--,--,--,0.45,--,--,--,--,--,--,--,--,--,--,23.23%,54.41k,48.64k,23.51M,23.51M,--,,,,,,1.51,10.23%,0.00,0.00%,--,1/31/2019,10/12/2023,--,--,,
2507,GBBK,89.14M ,89.29M ,113.83 ,-- ,-- ,-- ,3.63 ,-- ,-- ,12/31/2023,12/31/2023,0.00%,0.00%,-0.77%,--,--,--,--,--,--,3.17M,0.10,-95.70%,305.81k,0.04,--,--,0.22,-0.22,-2.02M,1.07M,--,23.23%,4.35k,5.57k,7.94M,7.94M,2.88M,3.21k,1.02,0.16%,0.04%,2.38k,--,--,0.00,0.00%,0.00%,--,--,--,--,,
2508,GBCI,4.06B ,-- ,20.45 ,20.58 ,-- ,5.17 ,1.30 ,8.33 ,-- ,12/31/2023,3/31/2024,25.36%,28.96%,0.70%,6.44%,766.3M,6.89,-10.40%,--,--,194.34M,1.75,-46.70%,794.04M,7,3.95B,--,--,27.43,345.81M,--,0.79,23.23%,532.39k,398.03k,113.39M,113.42M,112.77M,3.82M,6.55,4.42%,3.37%,4.51M,1.32,3.69%,1.32,3.69%,75.43%,4/18/2024,4/8/2024,3:2,12/15/2006,,
