,Company,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Fiscal Year Ends  ,Most Recent Quarter  (mrq),Profit Margin  ,Operating Margin  (ttm),Return on Assets  (ttm),Return on Equity  (ttm),Revenue  (ttm),Revenue Per Share  (ttm),Quarterly Revenue Growth  (yoy),Gross Profit  (ttm),EBITDA  ,Net Income Avi to Common  (ttm),Diluted EPS  (ttm),Quarterly Earnings Growth  (yoy),Total Cash  (mrq),Total Cash Per Share  (mrq),Total Debt  (mrq),Total Debt/Equity  (mrq),Current Ratio  (mrq),Book Value Per Share  (mrq),Operating Cash Flow  (ttm),Levered Free Cash Flow  (ttm),Beta (5Y Monthly)  ,S&P 500 52-Week Change ,Avg Vol (3 month) ,Avg Vol (10 day) ,Shares Outstanding ,Implied Shares Outstanding ,Float ,Shares Short (5/15/2024) ,Short Ratio (5/15/2024) ,Short % of Float (5/15/2024) ,Short % of Shares Outstanding (5/15/2024) ,Shares Short (prior month 4/15/2024) ,Forward Annual Dividend Rate ,Forward Annual Dividend Yield ,Trailing Annual Dividend Rate ,Trailing Annual Dividend Yield ,Payout Ratio ,Dividend Date ,Ex-Dividend Date ,Last Split Factor ,Last Split Date ,Unnamed: 11,Unnamed: 0
1608,CTRI,2.31B ,3.63B ,-- ,39.06 ,1.63 ,0.81 ,11.66 ,1.31 ,74.38 ,12/31/2023,3/31/2024,-7.30%,-4.16%,--,--,2.77B,"26,796.81",-19.20%,--,252.03M,-202.39M,--,--,18.41M,177.79,1.35B,669.51%,1.39,"1,910.43",93.37M,--,--,23.23%,459.25k,175.51k,88.52M,88.52M,19.55k,693.62k,1.19,7.47%,1.42%,,--,--,0.00,0.00%,0.00%,--,--,--,--,,
1609,CTRM,41.07M ,-94.28M ,1.60 ,-- ,-- ,1.18 ,0.09 ,0.16 ,0.30 ,12/31/2023,3/31/2024,53.67%,19.59%,1.73%,10.37%,93.44M,9.71,-16.70%,--,35.49M,47.73M,2.7800,106.20%,247.84M,25.65,62.81M,11.80%,7.74,49.96,33.22M,10.49M,0.84,23.23%,76.14k,50.48k,9.66M,9.66M,9.65M,54.66k,0.8,0.57%,0.57%,62.73k,--,--,0.00,0.00%,0.00%,--,--,1:10,3/27/2024,,
1610,CTRN,189.61M ,361.33M ,3.52 ,-- ,-- ,0.24 ,1.22 ,0.48 ,61.89 ,2/3/2024,5/4/2024,-1.16%,-3.74%,-1.95%,-5.57%,754.54M,91.58,3.70%,--,3.14M,-8.77M,-1.07,--,58.17M,7.05,229.89M,148.48%,1.36,18.76,--,--,2.38,23.23%,104.47k,167.04k,8.6M,8.6M,5.14M,1.25M,15.65,23.08%,14.62%,1.17M,--,--,0.00,0.00%,0.00%,3/17/2020,3/2/2020,--,--,,
1611,CTS,1.58B ,1.51B ,30.39 ,-- ,-- ,3.06 ,3.03 ,2.85 ,15.33 ,12/31/2023,3/31/2024,10.06%,12.86%,6.35%,10.30%,530.18M,17.03,-13.90%,--,104.29M,53.31M,1.70,-39.40%,163.62M,5.35,95.72M,18.36%,3.32,17.01,95.94M,78.04M,0.60,23.23%,143.39k,140.94k,30.57M,30.57M,29.9M,1.12M,7.55,4.49%,3.68%,1.14M,0.16,0.31%,0.16,0.31%,9.41%,7/26/2024,6/28/2024,2:1,8/13/1999,,
1612,CTSH,32.11B ,31.15B ,15.49 ,14.04 ,1.13 ,1.68 ,2.38 ,1.61 ,9.24 ,12/31/2023,3/31/2024,10.84%,15.08%,10.05%,16.00%,19.3B,38.45,-1.10%,--,3.42B,2.09B,4.17,-5.90%,2.24B,4.51,1.28B,9.47%,2.35,27.14,1.7B,1.81B,1.04,23.23%,4.24M,3.43M,497.2M,502.45M,495.78M,13.66M,3.53,3.51%,2.75%,13.23M,1.2,1.86%,1.18,1.78%,28.06%,5/29/2024,5/17/2024,2:1,3/10/2014,,
1613,CTSO,46.71M ,55.71M ,-- ,-- ,-- ,1.26 ,2.47 ,1.73 ,-- ,12/31/2023,3/31/2024,-75.07%,-50.33%,-32.65%,-115.03%,36.69M,0.78,3.60%,--,-25.71M,-27.54M,-0.5900,--,8.61M,0.16,17.61M,93.04%,1.49,0.35,-23.38M,-13.87M,0.62,23.23%,98.69k,64.37k,54.31M,54.31M,45.88M,1.46M,13.89,2.77%,2.69%,1.55M,--,--,0.00,0.00%,0.00%,--,--,1:25,12/5/2014,,
1614,CTV,278.72M ,258.70M ,-- ,-- ,-- ,1.87 ,1.45 ,1.79 ,1.05k ,12/31/2023,3/31/2024,-20.24%,-5.91%,-2.63%,-14.92%,146.14M,1.04,20.50%,--,864k,-29.58M,-0.2100,--,31.57M,0.22,11.56M,5.96%,3.23,1.35,16.72M,13.35M,3.21,23.23%,287.2k,346.03k,144.41M,144.41M,94.35M,392.96k,2.1,0.33%,0.27%,355.92k,--,--,0.00,0.00%,0.00%,1/1/2019,--,--,--,,
1615,CTVA,35.95B ,38.93B ,52.10 ,18.32 ,1.15 ,2.17 ,1.45 ,2.31 ,17.13 ,12/31/2023,3/31/2024,3.32%,14.71%,2.49%,2.79%,16.83B,23.85,-8.00%,--,3.01B,698M,0.99,-29.60%,1.66B,2.38,4.64B,18.55%,1.51,35.49,2.47B,2.48B,0.78,23.23%,3.28M,3.61M,696.98M,721.25M,695.55M,8.5M,2.63,1.38%,1.22%,9.58M,0.64,1.24%,0.64,1.23%,63.64%,6/18/2024,6/4/2024,--,--,,
1616,CTXR,116.73M ,104.55M ,-- ,1.29 ,-- ,-- ,1.47 ,-- ,-- ,9/30/2023,3/31/2024,0.00%,0.00%,-25.08%,-42.15%,--,--,--,--,-39.11M,-37.35M,-0.2300,--,12.56M,0.07,374.83k,0.47%,5.17,0.50,-30.3M,-18.92M,1.62,23.23%,1.53M,929.65k,180.67M,180.67M,168.36M,14.48M,10.27,8.60%,8.02%,13.19M,--,--,0.00,0.00%,0.00%,6/9/2017,--,1:15,6/9/2017,,
1617,CUBA,34.96M ,-- ,2.14 ,-- ,-- ,4.35 ,0.62 ,4.08 ,-- ,6/30/2023,12/31/2023,"1,076.86%",-78.02%,-0.41%,18.40%,739.12k,0.05,33.30%,--,--,7.96M,1.0800,5.70%,--,--,--,--,0.01,3.48,--,--,1.26,23.23%,68.77k,67.2k,15.13M,16.81M,--,28.35k,0.68,0.21%,0.19%,14.19k,0.54,23.24%,0.62,26.87%,44.69%,12/28/2018,6/3/2024,1034:1000,11/18/2021,,
1618,CUBB,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.75k,940,--,--,--,,,,,,--,--,--,--,--,7/1/2024,--,--,--,,
1619,CUBE,10.02B ,13.00B ,24.60 ,25.32 ,-- ,9.55 ,3.60 ,12.32 ,18.38 ,12/31/2023,3/31/2024,38.47%,45.33%,4.99%,14.24%,1.06B,4.70,1.90%,--,701.15M,407.72M,1.81,-3.10%,5.59M,0.03,2.99B,104.43%,0.14,12.37,624.58M,486.81M,0.79,23.23%,1.31M,1.17M,224.97M,226.26M,222.97M,5.93M,4.26,3.58%,2.64%,5.11M,2.04,4.58%,2.00,4.59%,110.50%,7/15/2024,7/1/2024,--,--,,
1620,CUBI,1.41B ,-- ,6.21 ,-- ,-- ,1.90 ,0.91 ,4.04 ,-- ,12/31/2023,3/31/2024,35.19%,47.92%,1.14%,15.82%,699.53M,22.31,10.90%,--,--,231.11M,7.17,-7.40%,3.72B,117.61,1.55B,--,--,49.29,88.37M,--,1.64,23.23%,308.14k,320.69k,31.65M,31.65M,29.23M,2.52M,6.76,9.78%,7.96%,1.86M,--,--,0.00,0.00%,0.00%,--,--,11:10,5/22/2014,,
1621,CUE,72.96M ,44.93M ,-- ,-- ,-- ,10.03 ,2.43 ,6.40 ,-1.76 ,12/31/2023,3/31/2024,0.00%,-737.80%,-47.26%,-117.50%,7.02M,0.15,818.20%,--,-50.8M,-49.97M,-1.0700,--,41.03M,0.84,13M,43.26%,2.47,0.62,-38.91M,-18.96M,1.99,23.23%,278.87k,259.19k,48.64M,48.64M,45.38M,4.59M,13.85,9.50%,9.44%,4.78M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
1622,CUK,19.06B ,48.83B ,46.53 ,16.56 ,0.04 ,0.83 ,2.83 ,2.16 ,10.15 ,11/30/2023,2/29/2024,1.80%,5.10%,2.94%,6.30%,22.57B,17.87,22.00%,--,4.79B,405M,0.32,--,2.24B,1.77,32.02B,479.27%,0.36,5.27,5.66B,-449.38M,2.58,23.23%,1.89M,1.72M,1.27B,1.28B,1.14B,710.18k,0.88,--,0.11%,1.06M,--,--,0.00,0.00%,0.00%,3/13/2020,2/20/2020,1201:1000,4/21/2003,,
1623,CULL,74.21M ,-- ,20.48 ,-- ,-- ,4.42 ,0.73 ,7.21 ,-- ,12/31/2023,3/31/2024,22.50%,23.67%,0.87%,3.62%,16.23M,2.36,-5.80%,--,--,3.62M,0.50,-29.70%,17.35M,2.49,45M,--,--,14.51,6.05M,--,0.16,23.23%,2.9k,2.81k,7.25M,7.25M,5.68M,4.83k,1.89,0.09%,0.07%,5.09k,0.12,1.17%,0.12,1.17%,24.00%,2/21/2024,1/31/2024,--,--,,
